osm_id,osm_type,name,highway,place,dynamic_risk,risk_category,priority
2481961855,node,Sanandabari,,village,0.00982812512665987,LOW,LOW
2492503548,node,Mawngap,,village,0.1269904524087906,LOW,LOW
2622298700,node,Gajni,,village,0.0035312501713633537,LOW,LOW
2659224784,node,Baghber Kalaspar,,village,0.010591130703687668,LOW,LOW
2659224785,node,Bajitkhila,,village,0.0020412500016391277,LOW,LOW
2659224787,node,Behula,,village,0.0,LOW,LOW
2659224794,node,Char Sherpur,,village,0.005920892581343651,LOW,LOW
2659224795,node,Dhala,,village,0.019471468403935432,LOW,LOW
2659224797,node,Garjaripa,,village,0.000887499947566539,LOW,LOW
2659224798,node,Ghazir Khamar,,village,0.0014199999859556556,LOW,LOW
2659224799,node,Gosalpur,,village,0.0,LOW,LOW
2659224800,node,Hatibandha Maljhibandha,,village,0.0014791666762903333,LOW,LOW
2659224801,node,Jogania,,village,0.020472044125199318,LOW,LOW
2659224802,node,Kakilakura,,village,0.03897321596741676,LOW,LOW
2659224804,node,Kangsha Dhansail,,village,0.019548362120985985,LOW,LOW
2659224805,node,Kharia Kazir Char,,village,0.04136665537953377,LOW,LOW
2659224806,node,Kurikahania,,village,0.000887499947566539,LOW,LOW
2659224809,node,Nalitabari Kakarkandi,,village,0.0064071426168084145,LOW,LOW
2659224810,node,Nalkura Gauripur,,village,0.01715029776096344,LOW,LOW
2659224811,node,Nunni Paragon,,village,0.0009000000427477062,LOW,LOW
2659224812,node,Pakuria,,village,0.008486894890666008,LOW,LOW
2659224814,node,Rajnagar,,village,0.004530475940555334,LOW,LOW
2659224815,node,Ramchandrakura Mandalia,,village,0.0,LOW,LOW
2659224816,node,Rani Shimul,,village,0.0,LOW,LOW
2659224818,node,Rupnarayankura Marichpura,,village,0.009585178457200527,LOW,LOW
2659224819,node,Singa Baruna,,village,0.008543899282813072,LOW,LOW
2659224820,node,Sreebardi,,village,0.0,LOW,LOW
2659224822,node,Tantihati,,village,0.0009374999790452421,LOW,LOW
2659224823,node,Urpha,,village,0.02661813236773014,LOW,LOW
2797030484,node,Bongaon,,village,0.002611785661429167,LOW,LOW
2815723705,node,Amtail,,village,0.002274999860674143,LOW,LOW
2815723725,node,Bhubankura,,village,0.0,LOW,LOW
2815723726,node,Bildora,,village,0.008432677946984768,LOW,LOW
2815723737,node,Daskhin Majipara,,village,0.004062499850988388,LOW,LOW
2815723742,node,Dhara,,village,0.036018792539834976,LOW,LOW
2815723744,node,Dhurail,,village,0.030204106122255325,LOW,LOW
2815723748,node,Gamaritola,,village,0.020498303696513176,LOW,LOW
2815723750,node,Gazir Bhita,,village,0.03176562488079071,LOW,LOW
2815723753,node,Ghoshgaon,,village,0.033087052404880524,LOW,LOW
2815723754,node,Guatala,,village,0.012629732489585876,LOW,LOW
2815723760,node,Jugil,,village,0.004549999721348286,LOW,LOW
2815723762,node,Kaichapur,,village,0.014111329801380634,LOW,LOW
2815723785,node,Narail,,village,0.0,LOW,LOW
2815723790,node,Pora Kandulia,,village,0.009126964025199413,LOW,LOW
2815724306,node,Sakual,,village,0.004374788608402014,LOW,LOW
2815724315,node,Swadeshi,,village,0.013929106295108795,LOW,LOW
3178190161,node,Mawlynnong,,hamlet,0.1487025022506714,LOW,LOW
3440747756,node,Tikrikila,,village,,NO DATA,NO DATA
3489223621,node,Mawphlang,,village,0.2997415363788605,MODERATE,LOW
3498512460,node,Mawkasiang,,village,0.4372057318687439,ELEVATED,MODERATE
3498512461,node,Mawpdang,,village,0.2282543033361435,MODERATE,LOW
3498512462,node,Tynring,,village,0.24560122191905975,MODERATE,LOW
3498528953,node,Mawdiangdiang,,village,0.5617043972015381,HIGH,HIGH
3498593553,node,Ishyrwat,,village,0.5560269951820374,HIGH,HIGH
3588842645,node,Rongmara,,village,0.004124999511986971,LOW,LOW
3642843359,node,Beheli,,village,0.0009250000002793968,LOW,LOW
3642843363,node,Fatehpur,,village,0.04213181510567665,LOW,LOW
3642843369,node,Sachna Bazar,,village,0.0014800000935792923,LOW,LOW
3642846277,node,Chandigarh,,village,0.01456434465944767,LOW,LOW
3642846278,node,Dakshin Badal,,village,0.010104870423674583,LOW,LOW
3642846279,node,Dakshin Bangshikunda,,village,0.0015416668029502034,LOW,LOW
3642846280,node,Dakshin Sreepur,,village,0.0,LOW,LOW
3642846281,node,Kharnai,,village,0.02458984963595867,LOW,LOW
3642846282,node,Kullagora,,village,0.0,LOW,LOW
3642846283,node,Lengura,,village,0.043334249407052994,LOW,LOW
3642846284,node,Madhyanagar,,village,0.0,LOW,LOW
3642846285,node,Rangchhati,,village,0.03955257311463356,LOW,LOW
3642846286,node,Uttar Badaghat,,village,0.0332210510969162,LOW,LOW
3642846287,node,Uttar Badal,,village,0.022000813856720924,LOW,LOW
3642846288,node,Uttar Bangshikunda,,village,0.0035624997690320015,LOW,LOW
3642846289,node,Uttar Sreepur,,village,0.005198214668780565,LOW,LOW
3642855937,node,Bakaljora,,village,0.037045784294605255,LOW,LOW
3642855938,node,Bara Kharpan,,village,0.0004625000001396984,LOW,LOW
3642855940,node,Chamardani,,village,0.0,LOW,LOW
3642855943,node,Ghagra,,village,0.002227500081062317,LOW,LOW
3642855945,node,Kakairgara,,village,0.0,LOW,LOW
3642855947,node,Kallati,,village,0.03527139872312546,LOW,LOW
3642855953,node,Nazirpur,,village,0.0,LOW,LOW
3642855955,node,Pogla,,village,0.0,LOW,LOW
3677642605,node,Agia,,village,,NO DATA,NO DATA
3677642608,node,Solmari,,village,,NO DATA,NO DATA
3702093694,node,শিবগঞ্জ,,village,0.006814166903495789,LOW,LOW
3933644721,node,Nongriat,,hamlet,0.36433684825897217,ELEVATED,MODERATE
3977978763,node,দাঁতভাঙ্গা,,village,,NO DATA,NO DATA
3977978764,node,ঘোগাদহ,,village,,NO DATA,NO DATA
3977978767,node,যাদুরচর,,village,0.005515625234693289,LOW,LOW
3977978782,node,নয়ারহাট,,village,0.01654687523841858,LOW,LOW
3977978786,node,শৌলমারী,,village,0.020937498658895493,LOW,LOW
3980086856,node,বল্লভেরখাস,,village,,NO DATA,NO DATA
3980088457,node,বামনডাঙ্গা,,village,,NO DATA,NO DATA
3980088461,node,বেরুবাড়ী,,village,,NO DATA,NO DATA
3980088465,node,ভিতরবন্দ,,village,,NO DATA,NO DATA
3980088476,node,নারায়ণপুর,,village,,NO DATA,NO DATA
3980088479,node,পাইকেরছড়া,,village,,NO DATA,NO DATA
3992043594,node,এরেন্ডাবাড়ী,,village,0.008101190440356731,LOW,LOW
3992043601,node,মোল্লারচর,,village,0.010734375566244125,LOW,LOW
4021621746,node,Rangthong,,village,0.17151206731796265,LOW,LOW
4022577378,node,Mawlong,,hamlet,0.44836172461509705,ELEVATED,MODERATE
4022666867,node,,,hamlet,0.21550263464450836,MODERATE,LOW
4022667266,node,Mawpud,,village,0.34090614318847656,MODERATE,LOW
4022779331,node,,,village,0.45359811186790466,ELEVATED,MODERATE
4123548023,node,Rongmachokgiri,,village,,NO DATA,NO DATA
4571353823,node,Mawsmai,,hamlet,0.15140752494335175,LOW,LOW
4571356292,node,Nongsawlia,,village,0.26351380348205566,MODERATE,LOW
4571405213,node,Naypyingsynn,,hamlet,0.1854603886604309,LOW,LOW
4571408897,node,Riwai,,hamlet,0.18851619958877563,LOW,LOW
4712024278,node,Tapirkona,,village,0.012203393504023552,LOW,LOW
4712024279,node,Madhyanagar Bazar,,village,0.03080323338508606,LOW,LOW
4806821432,node,,,village,,NO DATA,NO DATA
4806821433,node,,,village,,NO DATA,NO DATA
4839292004,node,Motorghat,,hamlet,0.021483730524778366,LOW,LOW
4905897536,node,Nohwet,,village,0.1724509447813034,LOW,LOW
5352503441,node,Khasi Tribe,,hamlet,0.561302125453949,HIGH,HIGH
5352503442,node,Sumer Village,,village,0.07785719633102417,LOW,LOW
5352503443,node,Sumer,,hamlet,0.3890458047389984,ELEVATED,MODERATE
5352802717,node,Mawmluh,,village,0.0917758196592331,LOW,LOW
5352802732,node,Wahlong,,hamlet,0.2658872902393341,MODERATE,LOW
5352802733,node,Ryngud,,hamlet,0.28843119740486145,MODERATE,LOW
5352802961,node,Sohbar Village,,village,0.4914417564868927,ELEVATED,MODERATE
5352802962,node,Laittyra,,hamlet,0.15179580450057983,LOW,LOW
5352803475,node,Jasir,,hamlet,0.37134724855422974,ELEVATED,MODERATE
5352803496,node,Sohsarat,,hamlet,0.4135879576206207,ELEVATED,MODERATE
5352803497,node,Nongwar,,village,0.1135035827755928,LOW,LOW
5352807461,node,Laitiam,,hamlet,0.39451634883880615,ELEVATED,MODERATE
5353084046,node,Village,,hamlet,0.3184371590614319,MODERATE,LOW
5353084090,node,Mawphu,,hamlet,0.4235794246196747,ELEVATED,MODERATE
5353533659,node,Jymmang ne Mawshamok,,hamlet,0.3764467239379883,ELEVATED,MODERATE
5353533660,node,Tyrna,,hamlet,0.27567192912101746,MODERATE,LOW
5353533661,node,Umblai,,hamlet,0.4761383831501007,ELEVATED,MODERATE
5353533785,node,Mawsahew,,hamlet,0.3817313015460968,ELEVATED,MODERATE
5353533864,node,Village,,hamlet,0.2562326490879059,MODERATE,LOW
5353533865,node,Tynrong,,hamlet,0.10242338478565216,LOW,LOW
5353533984,node,Pyndemdkhar,,hamlet,0.44421395659446716,ELEVATED,MODERATE
5353534186,node,Mynteng,,hamlet,0.3978264033794403,ELEVATED,MODERATE
5353534187,node,Mawjyndem,,hamlet,0.4600104093551636,ELEVATED,MODERATE
5353534188,node,Mawlakhiat,,hamlet,0.4800795614719391,ELEVATED,MODERATE
5353534647,node,Phlangmawsyrpat,,hamlet,0.3023237884044647,MODERATE,LOW
5353534648,node,Phlangsynnei,,hamlet,0.031609442085027695,LOW,LOW
5353534833,node,Lyngkhom,,hamlet,0.3621026575565338,ELEVATED,MODERATE
5353534834,node,Tyngnger,,hamlet,0.29593855142593384,MODERATE,LOW
5353534835,node,Tyngnger,,hamlet,0.25063207745552063,MODERATE,LOW
5353534836,node,Dewsaw,,hamlet,0.25945550203323364,MODERATE,LOW
5354919912,node,Mawkasaiñ,,village,0.3969373106956482,ELEVATED,MODERATE
5354919914,node,Lumdiengngan,,village,0.11485777795314789,LOW,LOW
5354919981,node,Nongrim,,village,0.30297616124153137,MODERATE,LOW
5354920009,node,Sohmynken,,village,0.16140900552272797,LOW,LOW
5354920116,node,Mawdon,,hamlet,0.30896541476249695,MODERATE,LOW
5354920117,node,Mawkhan,,hamlet,0.1949894279241562,LOW,LOW
5354920167,node,Thyllaw,,village,0.23069919645786285,MODERATE,LOW
5355167393,node,Langar,,hamlet,0.34128034114837646,MODERATE,LOW
5355287501,node,Village,,village,0.1696934849023819,LOW,LOW
5355287589,node,Village,,hamlet,0.2336215227842331,MODERATE,LOW
5359722626,node,Mawkawir,,hamlet,0.2516917586326599,MODERATE,LOW
5359722851,node,Sohsarat,,hamlet,0.3960302472114563,ELEVATED,MODERATE
5359722907,node,Mawryngkhong,,hamlet,0.572439968585968,HIGH,HIGH
5371423637,node,Mayphlong,,village,0.2513711154460907,MODERATE,LOW
5371423638,node,Mevi,,hamlet,0.33843934535980225,MODERATE,LOW
5371423832,node,Lynnyang,,village,0.18943607807159424,LOW,LOW
5371424003,node,Wongkalikai,,village,0.1417372077703476,LOW,LOW
5371424423,node,Mawkliaw,,hamlet,0.13717716932296753,LOW,LOW
5371424424,node,Kemrang,,hamlet,0.16162410378456116,LOW,LOW
5371424628,node,Mawlatang,,hamlet,0.10340271145105362,LOW,LOW
5371424629,node,Tyrngei,,hamlet,0.2702835500240326,MODERATE,LOW
5371425541,node,Sohkhmi,,village,0.33262869715690613,MODERATE,LOW
5372576399,node,,,hamlet,0.158419668674469,LOW,LOW
